"Trial","Name","Method","pearson","g_cor","fold","year","trt"
"2013-14
Moderate Drought","H","GBLUP",0.380595972677306,0.240296884248202,1,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","H","HBLUP",0.706476843833411,0.368393737592117,1,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","H","GBLUP+H",0.713588399256423,0.466861904898975,1,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","H_fold_2.csv","GBLUP",0.3462339097677,0.345691449217772,2,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","H_fold_2.csv","HBLUP",0.532914102751754,0.370531249516538,2,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","H_fold_2.csv","GBLUP+H",0.628298340474106,0.533937176987811,2,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","H_fold_3.csv","GBLUP",0.448481391627026,0.553173490130184,3,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","H_fold_3.csv","HBLUP",0.620913717100367,0.335926440653815,3,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","H_fold_3.csv","GBLUP+H",0.693506045356632,0.648329829446459,3,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","H_fold_4.csv","GBLUP",0.463083925062996,0.413355264068733,4,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","H_fold_4.csv","HBLUP",0.704046953784612,0.297228911833102,4,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","H_fold_4.csv","GBLUP+H",0.79765567298985,0.537339265141512,4,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","H_fold_5.csv","GBLUP",0.462516462557738,0.588355469138588,5,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","H_fold_5.csv","HBLUP",0.638554773798971,0.37286470383135,5,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","H_fold_5.csv","GBLUP+H",0.710062611451247,0.611719744766619,5,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","MegaLMM","MegaLMM
GBLUP",0.722524972284754,0.440789653804369,1,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","MegaLMM_fold_2.csv","MegaLMM
GBLUP",0.702533944442766,0.548939468891675,2,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","MegaLMM_fold_3.csv","MegaLMM
GBLUP",0.7675914168814,0.698336166719474,3,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","MegaLMM_fold_4.csv","MegaLMM
GBLUP",0.682135162065868,0.570062890034468,4,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","MegaLMM_fold_5.csv","MegaLMM
GBLUP",0.589959535286687,0.622140308010459,5,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","MegaLMM_no2nd","MegaLMM
GBLUP CV1",0.456882416991929,0.22635177143139,1,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","MegaLMM_no2nd_fold_2.csv","MegaLMM
GBLUP CV1",0.468711576534389,0.377572998440904,2,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","MegaLMM_no2nd_fold_3.csv","MegaLMM
GBLUP CV1",0.559123680850183,0.585013497992427,3,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","MegaLMM_no2nd_fold_4.csv","MegaLMM
GBLUP CV1",0.450559753566215,0.334443061964566,4,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","MegaLMM_no2nd_fold_5.csv","MegaLMM
GBLUP CV1",0.481597923904188,0.493879404654068,5,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","MegaLMM_RKHS","MegaLMM
RKHS",0.836969514809283,0.423419411681507,1,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","MegaLMM_RKHS_fold_2.csv","MegaLMM
RKHS",0.83803840452727,0.568377432405477,2,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","MegaLMM_RKHS_fold_3.csv","MegaLMM
RKHS",0.771286232295052,0.667918629418513,3,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","MegaLMM_RKHS_fold_4.csv","MegaLMM
RKHS",0.842043923134218,0.606797894994875,4,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","MegaLMM_RKHS_fold_5.csv","MegaLMM
RKHS",0.679430862640067,0.61485923247967,5,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","univariate","RKHS",0.546134118139937,0.311681763927107,1,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","univariate","Bayesian
Lasso",0.494174901604025,0.241033789124869,1,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","univariate_fold_2.csv","RKHS",0.569277989994827,0.423008304912022,2,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","univariate_fold_2.csv","Bayesian
Lasso",0.48857966858121,0.326349132468903,2,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","univariate_fold_3.csv","RKHS",0.661263646429403,0.641106508400511,3,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","univariate_fold_3.csv","Bayesian
Lasso",0.576585232791294,0.573915194852692,3,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","univariate_fold_4.csv","RKHS",0.525358161613633,0.419944176705862,4,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","univariate_fold_4.csv","Bayesian
Lasso",0.473915505529283,0.360113161598232,4,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","univariate_fold_5.csv","RKHS",0.492364469770205,0.613981152922302,5,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","univariate_fold_5.csv","Bayesian
Lasso",0.47168228688004,0.472920553004379,5,"2013-14","Moderate Drought"
"2013-14
Optimal Bed","H","GBLUP",0.387852174948434,0.605671682230104,1,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","H","HBLUP",0.530404377756986,0.452395617605706,1,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","H","GBLUP+H",0.563190734974001,0.592856587824679,1,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","H_fold_2.csv","GBLUP",0.331374677310129,0.448874195690923,2,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","H_fold_2.csv","HBLUP",0.449864905583414,0.312568229872789,2,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","H_fold_2.csv","GBLUP+H",0.491405093496137,0.409990593717732,2,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","H_fold_3.csv","GBLUP",0.312133974900709,0.394257855794811,3,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","H_fold_3.csv","HBLUP",0.446928418900221,0.30224584193893,3,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","H_fold_3.csv","GBLUP+H",0.490970571596081,0.431638071686845,3,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","H_fold_4.csv","GBLUP",0.333948901201421,0.380873183062997,4,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","H_fold_4.csv","HBLUP",0.446941916789973,0.354904580995712,4,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","H_fold_4.csv","GBLUP+H",0.489387279405976,0.40629957548162,4,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","H_fold_5.csv","GBLUP",0.286713495782751,0.160523985816251,5,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","H_fold_5.csv","HBLUP",0.416816363192936,0.380486005777862,5,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","H_fold_5.csv","GBLUP+H",0.456644716440334,0.43182267772016,5,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","MegaLMM","MegaLMM
GBLUP",0.675928216281826,0.611290676993284,1,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","MegaLMM_fold_2.csv","MegaLMM
GBLUP",0.595381811161519,0.549981745418668,2,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","MegaLMM_fold_3.csv","MegaLMM
GBLUP",0.647014379258359,0.563883233879157,3,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","MegaLMM_fold_4.csv","MegaLMM
GBLUP",0.620901811046917,0.470625376081921,4,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","MegaLMM_fold_5.csv","MegaLMM
GBLUP",0.625092568472014,0.354916202103065,5,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","MegaLMM_no2nd","MegaLMM
GBLUP CV1",0.505529512967355,0.458453347107661,1,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","MegaLMM_no2nd_fold_2.csv","MegaLMM
GBLUP CV1",0.453303840076376,0.40457157070255,2,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","MegaLMM_no2nd_fold_3.csv","MegaLMM
GBLUP CV1",0.472697065294114,0.431341784068245,3,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","MegaLMM_no2nd_fold_4.csv","MegaLMM
GBLUP CV1",0.486290098161131,0.356338863351119,4,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","MegaLMM_no2nd_fold_5.csv","MegaLMM
GBLUP CV1",0.463080109523767,0.192477773261716,5,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","MegaLMM_RKHS","MegaLMM
RKHS",0.792848269415353,0.633452168180221,1,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","MegaLMM_RKHS_fold_2.csv","MegaLMM
RKHS",0.638275996788496,0.575725205002936,2,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","MegaLMM_RKHS_fold_3.csv","MegaLMM
RKHS",0.724912740751192,0.516888815747379,3,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","MegaLMM_RKHS_fold_4.csv","MegaLMM
RKHS",0.786864670723518,0.582310095055349,4,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","MegaLMM_RKHS_fold_5.csv","MegaLMM
RKHS",0.63857256364594,0.44014450926217,5,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","univariate","RKHS",0.563671655581563,0.524117488368727,1,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","univariate","Bayesian
Lasso",0.520903503871524,0.549514824856217,1,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","univariate_fold_2.csv","RKHS",0.462181955256079,0.55674505773505,2,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","univariate_fold_2.csv","Bayesian
Lasso",0.422991789370777,0.381232162808149,2,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","univariate_fold_3.csv","RKHS",0.523539524589279,0.444065722853723,3,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","univariate_fold_3.csv","Bayesian
Lasso",0.457003502815823,0.41645827662652,3,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","univariate_fold_4.csv","RKHS",0.582405980415587,0.385800412137048,4,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","univariate_fold_4.csv","Bayesian
Lasso",0.491838148482084,0.334594303012116,4,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","univariate_fold_5.csv","RKHS",0.550998349086493,0.269385860725858,5,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","univariate_fold_5.csv","Bayesian
Lasso",0.468314422491,0.161683806318029,5,"2013-14","Optimal Bed"
"2013-14
Heat","H","GBLUP",0.353316761875079,0.352531755125029,1,"2013-14","Heat"
"2013-14
Heat","H","HBLUP",0.836750885958536,0.587049767815823,1,"2013-14","Heat"
"2013-14
Heat","H","GBLUP+H",0.853191868659985,0.687427211485045,1,"2013-14","Heat"
"2013-14
Heat","H_fold_2.csv","GBLUP",0.381400274273131,0.43839417651981,2,"2013-14","Heat"
"2013-14
Heat","H_fold_2.csv","HBLUP",0.810430136454555,0.536391275795237,2,"2013-14","Heat"
"2013-14
Heat","H_fold_2.csv","GBLUP+H",0.814775728908915,0.577865641142769,2,"2013-14","Heat"
"2013-14
Heat","H_fold_3.csv","GBLUP",0.327401364365334,0.372756566408494,3,"2013-14","Heat"
"2013-14
Heat","H_fold_3.csv","HBLUP",0.790940730919276,0.507793249198676,3,"2013-14","Heat"
"2013-14
Heat","H_fold_3.csv","GBLUP+H",0.802736123536957,0.5268895371752,3,"2013-14","Heat"
"2013-14
Heat","H_fold_4.csv","GBLUP",0.242102590982172,0.316827691447125,4,"2013-14","Heat"
"2013-14
Heat","H_fold_4.csv","HBLUP",0.774387287105923,0.57863783893871,4,"2013-14","Heat"
"2013-14
Heat","H_fold_4.csv","GBLUP+H",0.774703847930697,0.527890871175348,4,"2013-14","Heat"
"2013-14
Heat","H_fold_5.csv","GBLUP",0.459782360346786,0.631095022031624,5,"2013-14","Heat"
"2013-14
Heat","H_fold_5.csv","HBLUP",0.873618013999373,0.422077610274282,5,"2013-14","Heat"
"2013-14
Heat","H_fold_5.csv","GBLUP+H",0.874156716007612,0.533258728587877,5,"2013-14","Heat"
"2013-14
Heat","MegaLMM","MegaLMM
GBLUP",0.738981495222298,0.748692854107324,1,"2013-14","Heat"
"2013-14
Heat","MegaLMM_fold_2.csv","MegaLMM
GBLUP",0.772815669381941,0.717642224656556,2,"2013-14","Heat"
"2013-14
Heat","MegaLMM_fold_3.csv","MegaLMM
GBLUP",0.850667502375381,0.690660748060082,3,"2013-14","Heat"
"2013-14
Heat","MegaLMM_fold_4.csv","MegaLMM
GBLUP",0.52718785802148,0.590577995135497,4,"2013-14","Heat"
"2013-14
Heat","MegaLMM_fold_5.csv","MegaLMM
GBLUP",0.697794161652638,0.728287978455938,5,"2013-14","Heat"
"2013-14
Heat","MegaLMM_no2nd","MegaLMM
GBLUP CV1",0.376915308281628,0.29062787466249,1,"2013-14","Heat"
"2013-14
Heat","MegaLMM_no2nd_fold_2.csv","MegaLMM
GBLUP CV1",0.447602699652531,0.376655497140617,2,"2013-14","Heat"
"2013-14
Heat","MegaLMM_no2nd_fold_3.csv","MegaLMM
GBLUP CV1",0.399058448791698,0.298753772824737,3,"2013-14","Heat"
"2013-14
Heat","MegaLMM_no2nd_fold_4.csv","MegaLMM
GBLUP CV1",0.25954969520596,0.327156607001995,4,"2013-14","Heat"
"2013-14
Heat","MegaLMM_no2nd_fold_5.csv","MegaLMM
GBLUP CV1",0.465437501350788,0.648413043832712,5,"2013-14","Heat"
"2013-14
Heat","MegaLMM_RKHS","MegaLMM
RKHS",0.888504228180867,0.849161194552253,1,"2013-14","Heat"
"2013-14
Heat","MegaLMM_RKHS_fold_2.csv","MegaLMM
RKHS",0.988845490239489,0.740220667881799,2,"2013-14","Heat"
"2013-14
Heat","MegaLMM_RKHS_fold_3.csv","MegaLMM
RKHS",1.0561354418613,0.699929579844338,3,"2013-14","Heat"
"2013-14
Heat","MegaLMM_RKHS_fold_4.csv","MegaLMM
RKHS",0.718821964500689,0.66188262392425,4,"2013-14","Heat"
"2013-14
Heat","MegaLMM_RKHS_fold_5.csv","MegaLMM
RKHS",0.917211434895222,0.719247209421954,5,"2013-14","Heat"
"2013-14
Heat","univariate","RKHS",0.410097696252819,0.393706858694892,1,"2013-14","Heat"
"2013-14
Heat","univariate","Bayesian
Lasso",0.376388522997427,0.368297702606862,1,"2013-14","Heat"
"2013-14
Heat","univariate_fold_2.csv","RKHS",0.531894087322671,0.495762321354782,2,"2013-14","Heat"
"2013-14
Heat","univariate_fold_2.csv","Bayesian
Lasso",0.482389955384885,0.428021673428842,2,"2013-14","Heat"
"2013-14
Heat","univariate_fold_3.csv","RKHS",0.539608740741805,0.465015420002501,3,"2013-14","Heat"
"2013-14
Heat","univariate_fold_3.csv","Bayesian
Lasso",0.450539429055443,0.365604366641676,3,"2013-14","Heat"
"2013-14
Heat","univariate_fold_4.csv","RKHS",0.280241983376463,0.371383272848497,4,"2013-14","Heat"
"2013-14
Heat","univariate_fold_4.csv","Bayesian
Lasso",0.244314389102111,0.306809615136154,4,"2013-14","Heat"
"2013-14
Heat","univariate_fold_5.csv","RKHS",0.542610224385099,0.629747158791052,5,"2013-14","Heat"
"2013-14
Heat","univariate_fold_5.csv","Bayesian
Lasso",0.488117534270258,0.643813159055015,5,"2013-14","Heat"
"2013-14
Severe Drought","H","GBLUP",0.38482740143884,0.289464958781082,1,"2013-14","Severe Drought"
"2013-14
Severe Drought","H","HBLUP",0.882254181558869,0.532567823419708,1,"2013-14","Severe Drought"
"2013-14
Severe Drought","H","GBLUP+H",0.92378225991578,0.630582033231879,1,"2013-14","Severe Drought"
"2013-14
Severe Drought","H_fold_2.csv","GBLUP",0.337499167305203,0.279708112967073,2,"2013-14","Severe Drought"
"2013-14
Severe Drought","H_fold_2.csv","HBLUP",0.841548396790153,0.434208371172353,2,"2013-14","Severe Drought"
"2013-14
Severe Drought","H_fold_2.csv","GBLUP+H",0.907733856548267,0.542487489891082,2,"2013-14","Severe Drought"
"2013-14
Severe Drought","H_fold_3.csv","GBLUP",0.471368086143287,0.579877165741448,3,"2013-14","Severe Drought"
"2013-14
Severe Drought","H_fold_3.csv","HBLUP",0.892829629011107,0.501738491367974,3,"2013-14","Severe Drought"
"2013-14
Severe Drought","H_fold_3.csv","GBLUP+H",0.929159926049338,0.663424009923265,3,"2013-14","Severe Drought"
"2013-14
Severe Drought","H_fold_4.csv","GBLUP",0.375384871869963,0.390676174700494,4,"2013-14","Severe Drought"
"2013-14
Severe Drought","H_fold_4.csv","HBLUP",0.815905202501222,0.540630572863404,4,"2013-14","Severe Drought"
"2013-14
Severe Drought","H_fold_4.csv","GBLUP+H",0.876614070376072,0.636562039632183,4,"2013-14","Severe Drought"
"2013-14
Severe Drought","H_fold_5.csv","GBLUP",0.460269192155609,0.299702392360725,5,"2013-14","Severe Drought"
"2013-14
Severe Drought","H_fold_5.csv","HBLUP",0.939439893488465,0.592090297700505,5,"2013-14","Severe Drought"
"2013-14
Severe Drought","H_fold_5.csv","GBLUP+H",0.96830192551977,0.657374184961526,5,"2013-14","Severe Drought"
"2013-14
Severe Drought","MegaLMM","MegaLMM
GBLUP",1.07451332479792,0.772334129939639,1,"2013-14","Severe Drought"
"2013-14
Severe Drought","MegaLMM_fold_2.csv","MegaLMM
GBLUP",0.890619368755867,0.696675910358888,2,"2013-14","Severe Drought"
"2013-14
Severe Drought","MegaLMM_fold_3.csv","MegaLMM
GBLUP",1.09102888951022,0.874532373857725,3,"2013-14","Severe Drought"
"2013-14
Severe Drought","MegaLMM_fold_4.csv","MegaLMM
GBLUP",0.802883599761446,0.784044411619149,4,"2013-14","Severe Drought"
"2013-14
Severe Drought","MegaLMM_fold_5.csv","MegaLMM
GBLUP",1.1854072100954,0.777635194397365,5,"2013-14","Severe Drought"
"2013-14
Severe Drought","MegaLMM_no2nd","MegaLMM
GBLUP CV1",0.516094461689414,0.27673838773674,1,"2013-14","Severe Drought"
"2013-14
Severe Drought","MegaLMM_no2nd_fold_2.csv","MegaLMM
GBLUP CV1",0.411449321090098,0.253537399958376,2,"2013-14","Severe Drought"
"2013-14
Severe Drought","MegaLMM_no2nd_fold_3.csv","MegaLMM
GBLUP CV1",0.64540495854199,0.49732690171324,3,"2013-14","Severe Drought"
"2013-14
Severe Drought","MegaLMM_no2nd_fold_4.csv","MegaLMM
GBLUP CV1",0.417748332209327,0.384564009512702,4,"2013-14","Severe Drought"
"2013-14
Severe Drought","MegaLMM_no2nd_fold_5.csv","MegaLMM
GBLUP CV1",0.631826613340597,0.309048933446253,5,"2013-14","Severe Drought"
"2013-14
Severe Drought","MegaLMM_RKHS","MegaLMM
RKHS",1.29130763694066,0.839810739634062,1,"2013-14","Severe Drought"
"2013-14
Severe Drought","MegaLMM_RKHS_fold_2.csv","MegaLMM
RKHS",1.11524805435641,0.75826231286701,2,"2013-14","Severe Drought"
"2013-14
Severe Drought","MegaLMM_RKHS_fold_3.csv","MegaLMM
RKHS",1.31405933312213,0.864738743261969,3,"2013-14","Severe Drought"
"2013-14
Severe Drought","MegaLMM_RKHS_fold_4.csv","MegaLMM
RKHS",0.986690804316283,0.837401678924689,4,"2013-14","Severe Drought"
"2013-14
Severe Drought","MegaLMM_RKHS_fold_5.csv","MegaLMM
RKHS",1.41583339200281,0.87600541574421,5,"2013-14","Severe Drought"
"2013-14
Severe Drought","univariate","RKHS",0.589270242227207,0.394811408581675,1,"2013-14","Severe Drought"
"2013-14
Severe Drought","univariate","Bayesian
Lasso",0.539531211162849,0.283528089893862,1,"2013-14","Severe Drought"
"2013-14
Severe Drought","univariate_fold_2.csv","RKHS",0.516447192497135,0.410800344380062,2,"2013-14","Severe Drought"
"2013-14
Severe Drought","univariate_fold_2.csv","Bayesian
Lasso",0.423692273059935,0.262262088044244,2,"2013-14","Severe Drought"
"2013-14
Severe Drought","univariate_fold_3.csv","RKHS",0.72686443573773,0.596769266924663,3,"2013-14","Severe Drought"
"2013-14
Severe Drought","univariate_fold_3.csv","Bayesian
Lasso",0.660112151986856,0.56230254078756,3,"2013-14","Severe Drought"
"2013-14
Severe Drought","univariate_fold_4.csv","RKHS",0.467368011067621,0.402857617519283,4,"2013-14","Severe Drought"
"2013-14
Severe Drought","univariate_fold_4.csv","Bayesian
Lasso",0.440036161593269,0.380526661261378,4,"2013-14","Severe Drought"
"2013-14
Severe Drought","univariate_fold_5.csv","RKHS",0.711366914311214,0.396945477380796,5,"2013-14","Severe Drought"
"2013-14
Severe Drought","univariate_fold_5.csv","Bayesian
Lasso",0.669296573511741,0.300420470531351,5,"2013-14","Severe Drought"
"2013-14
Optimal Flat","H","GBLUP",0.24885268027094,0.128568331310591,1,"2013-14","Optimal Flat"
"2013-14
Optimal Flat","H","HBLUP",0.0866110844564853,-0.0192719733861683,1,"2013-14","Optimal Flat"
"2013-14
Optimal Flat","H","GBLUP+H",0.210425684466774,0.222149845594154,1,"2013-14","Optimal Flat"
"2013-14
Optimal Flat","H_fold_2.csv","GBLUP",0.336634305778708,0.267508117824894,2,"2013-14","Optimal Flat"
